wid,d,θ0,vigor1,vigor2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,0.00011423996091316573,0.5396845533698797,0.8238082736730576,1.66716255559586,739.292505796766,762.5580053369052,3773.031463313855,6,148,7576.046200270295,BADS
wdaebe9a,0.00013855282678441915,0.7166302497126161,1.1413984656333926,1.1476948576048018,946.4056272292512,1232.7723236987365,2453.4495082858434,6,95,4934.22227792129,BADS
w457a2a0,0.00023921556104562438,0.8406625773885753,1.0688646160997453,1.7617408419493588,1120.6063680176158,615.8433651551607,2484.373925620709,6,100,4996.378872357347,BADS
wc71252e,0.0004461796722256954,0.25154526992700993,0.3242516469210388,0.40211743656545895,1984.739588922821,1419.4364169612527,2431.7720178155782,6,95,4890.867296980759,BADS
w8250429,0.00034545907901349095,1.0104124468553675,0.6772280698690795,0.3380342102883789,1980.002731104014,711.5207110951022,2541.48383544622,6,97,5110.41593676346,BADS
w5dd5645,0.00020852282832026678,0.47992720231413843,3.472211241722107,1.9757736206054688,2214.309997856617,1159.2438593506813,2258.0434744714967,6,89,4543.018767161386,BADS
wa64273f,0.0002575107187927048,0.2509012524647171,4.977173913613052,0.22252919217286282,1558.5092751291402,1792.8258956037716,2418.418285421296,6,94,4864.096339536211,BADS
w578a7cb,0.0001832855665088827,0.3655235195741989,1.935375012736768,3.462031709123403,975.4469595849515,1419.791390403407,2704.9907550058547,6,98,5437.491314883733,BADS
wb651fe0,0.00015006256652180935,0.673289459515363,0.10000000074505826,3.054474690556526,1054.4972675852482,1037.8661481663587,2521.489871518109,6,96,5070.365832185024,BADS
wcb87506,0.000432632585613987,0.23947879496789257,0.6359031045855319,2.4294241206891,988.731686673225,607.0281694233646,2582.497632877574,6,100,5192.626286871076,BADS
w11ae0c3,0.0002209547032030259,0.3836601766943932,0.522289252281189,3.9370374679565434,989.8293465375903,1050.4486784338956,2560.559847320878,6,100,5148.750715757685,BADS
w0c70a81,6.407636188042518e-5,0.9258526277542114,0.5383188247680665,0.3462677001953126,799.8198270797734,884.2687129974364,2420.9032338095813,6,95,4869.129728968765,BADS
wbcb6e6a,0.0009999999999989557,1.7965409930287954,1.3758084758631868,0.10000260850524686,1410.2112821878964,502.46288288739737,2406.9179337209957,6,92,4840.966598904286,BADS
wdf61453,0.0001655962397264503,0.4076162776142883,0.10085921218269517,0.10030621809710291,913.0235441210972,842.1306678304974,2384.5712249718717,6,95,4796.465711293346,BADS
wa3a9848,0.00016861577125736285,0.4226560974121094,3.782159423828125,1.1343444824218751,2073.1643676757812,1609.8308563232422,2338.1932289106003,6,87,4703.181906533128,BADS
wf63b737,0.00011123531155684498,0.9001119247066796,1.8991680805276951,3.587115937392153,815.340688179032,621.7969611479423,2108.1357580903596,6,80,4242.563675988762,BADS
w4ff13f3,0.0001965326931252971,1.0033207885355568,4.294024095033273,4.853096232911412,1274.7061079051036,618.4900946239171,2657.5998435047572,6,100,5342.830708125443,BADS
w313d7aa,0.00015425302859961427,0.2830413607497741,3.536246508085492,3.609867113262135,1636.2286447352162,627.0409698688028,3774.3830828724776,6,146,7578.667805475206,BADS
w0e2f500,0.00019946104605408823,0.21255389809855837,0.24475856676105268,4.230116042604297,1140.1916368642335,1714.1245724594178,2283.530373750207,6,87,4593.856196212342,BADS
waedfc9c,0.0001533360005601663,0.39351046287792996,2.0727830656353037,4.98093270841855,899.9022045888522,1129.5245543182318,2478.180427680415,6,100,4983.991876476759,BADS
w96b09fe,7.47508829035781e-5,0.8866989816632121,2.7052200790494685,2.774356136284769,834.990254440345,1210.1501941448078,2455.53299167117,6,95,4938.389244691943,BADS
w9ff051d,0.00013317707260587227,0.7078486952185631,0.17137384414672857,4.493577241897583,1699.9364092946053,735.6558084487918,2570.8759137959496,6,99,5169.322546692707,BADS
wdcfc216,0.0001393118734087728,0.4339606401324272,0.6923622369766236,4.4349103450775145,997.4245622754097,634.3411698937417,2516.8211771100914,6,100,5061.273375336112,BADS
w4a3c9b0,0.0003202394929104203,0.8015834020800229,0.2885359771016738,0.6589894295097112,1593.8744946228098,848.4819202027212,3550.614867850853,6,131,7130.480919640913,BADS
wde62b3d,0.00025059203681054577,0.756304520368576,0.17588763236999522,2.0149671077728275,1080.6871473789215,601.0141015052794,2510.1683412731927,6,95,5047.659943895988,BADS
w5284fa9,0.00010480876352664006,0.6876816961786244,4.495101405959576,3.0464030573610215,718.9758651074952,1125.1674815604931,2448.1812292397453,6,95,4923.685719829094,BADS
