wid,d,θ0,vigor,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,0.00010811752662944223,0.5353430076710174,4.999999999996362,758.4551934640332,750.8498883393262,3773.3033859649026,5,148,7571.592833298626,BADS
wdaebe9a,0.00025407289014811005,0.3645820529107732,1.3655622052123364,1195.3084496402885,1269.7797899964828,2453.0026603722895,5,95,4928.774705202582,BADS
w457a2a0,0.0002645950599027287,0.7501687693278473,2.0935695904780007,1202.042492206874,610.718938689388,2484.2199074726846,5,100,4991.465665875309,BADS
wc71252e,0.000224555820492648,0.5540477032372727,2.350246524926479,1812.039815046714,1351.3083987190062,2431.490623317748,5,95,4885.750631093499,BADS
w8250429,0.0002888548746761075,1.3294080905799637,4.799506638743333,1832.7505967088655,723.8942418418449,2541.5022403767252,5,97,5105.878035645967,BADS
w5dd5645,0.00021376567110832056,0.4417268593451161,4.772464020286987,2227.3156542860124,1165.721353358231,2257.9490770731027,5,89,4538.341335994866,BADS
wa64273f,0.0003159168234467554,0.2011463165283203,2.3143768310546875,1602.6130676269534,1796.0376739501955,2418.634366801122,5,94,4859.985207513593,BADS
w578a7cb,0.0001852692132113541,0.3807254615197599,2.8691606161388337,995.2859494849694,1311.3530158851063,2706.4005836983374,5,98,5435.726004790028,BADS
wb651fe0,0.0001169007927133079,0.8333295092991603,1.1124351220269093,971.3874001714432,946.4341569938371,2522.0193799492017,5,96,5066.860500855742,BADS
wcb87506,0.00019990503148541554,0.5378740201500477,0.11464807832380769,792.6320922037121,615.5734314466828,2583.013053399115,5,100,5189.05195772817,BADS
w11ae0c3,0.00027298492149881,0.3401001120944421,4.995177236117888,1045.1737952214899,974.6604154523085,2560.5142987166955,5,100,5144.054448363331,BADS
w0c70a81,0.00016225068625908205,0.34085658557934656,2.7527467590659374,1572.3201960702868,835.2689981343586,2416.9714660104733,5,95,4856.712316478949,BADS
wbcb6e6a,0.0009999907617543272,1.7088060562405734,4.999999999441206,1410.185378533788,498.84863062761724,2406.866190633872,5,92,4836.34132415299,BADS
wdf61453,0.00024364170936157795,0.30417483263757167,4.940900562299703,900.9153402023572,807.9455496758161,2384.4066550037087,5,95,4791.58269446542,BADS
wa3a9848,9.695971697299217e-5,0.7381609106063843,2.393891334533692,1542.8388595581057,1591.4755344390871,2338.9050902970166,5,87,4700.139721187306,BADS
wf63b737,0.00013969111554938912,0.6529366521470182,2.9680986290259175,1127.7460321272883,685.6249691254562,2107.4241634315554,5,80,4236.75846003648,BADS
w4ff13f3,0.0002475181289292378,0.8315775376971578,2.4976259050890803,1242.2488509240795,615.6909461133182,2657.3753669524094,5,100,5337.776584834759,BADS
w313d7aa,8.155670914454128e-5,0.49991929802461527,0.10840898109599964,1411.2265720017604,672.0494402892656,3770.379919252636,5,146,7565.677871613813,BADS
w0e2f500,0.00016855362970640572,0.31457810486873766,0.36571232535120557,992.4436754307692,1923.01452046965,2282.2036031202238,5,87,4586.736746833721,BADS
