wid,d,θ0,vigor1,vigor2,T1,T2,rating_sd,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,8.924824204451401e-5,0.6970890378952026,0.5742932796478274,1.4807329177856448,710.0154101848605,743.4251666069032,0.0023697560695353213,3774.4757877106117,7,148,7583.932061337572,BADS
wdaebe9a,0.0001657643398808296,0.6250783185734904,0.11170558314673826,1.018795252830799,1052.772013366373,1433.5343763700498,0.8412522766827902,2453.2237303873194,7,95,4938.324599015843,BADS
w457a2a0,0.0002606049468132247,0.8171772029681598,4.392464408231898,4.430873191868886,1159.0107152645944,607.4345972330777,0.0017729349132121288,2484.1229682905805,7,100,5000.482127883078,BADS
wc71252e,0.0003960454910834351,0.4841577421435008,3.5072633270197002,2.029721744890094,1971.477794262259,1358.8469920623124,0.9967345448733019,2430.8700650703563,7,95,4893.617268381917,BADS
w8250429,0.00037934737785403917,1.305498023786058,0.1955620591063053,2.764884120505304,1894.5847865295948,706.6442321331126,0.34034588955303247,2541.35996086823,7,97,5114.742898585983,BADS
w5dd5645,0.00013609946200201375,0.7577396882126595,4.988167621853427,1.4119823653883945,2008.9555413483367,1186.8577891933687,0.01717081171307524,2258.6694878019985,7,89,4548.759430192122,BADS
wa64273f,0.00035886362126773594,0.21055289931595328,4.651825106143951,3.2806161731481556,1445.4124540090563,1688.7649953365328,0.999961737428618,2418.150142678932,7,94,4868.103348833753,BADS
w578a7cb,0.00019919356451453222,0.33775350076306493,1.8590822172525807,0.18268053170468201,1022.280267121096,1354.2944818258547,0.005747708746732657,2704.947368243797,7,98,5441.989508838288,BADS
wb651fe0,0.00013718788165382063,0.7482773447036744,0.9512535095214845,2.521568489074707,1006.9028854370121,1010.7506036758423,0.2305199428112199,2521.6130538938064,7,96,5075.176545127888,BADS
wcb87506,0.0003673570117637825,0.2921668217018419,0.1135192684413596,4.999981104790913,950.8677960010233,581.1608983974226,0.0010028992778311997,2582.411081286312,7,100,5197.05835387454,BADS
