wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,7.516335175335955e-5,9.08482552926304e-5,0.8136359153136994,0.6758526664594353,733.6503554091903,62.376319405961965,2419.131008990998,6,140,4867.911872517652,BADS
wdaebe9a,8.183195303202943e-5,8.417078805074974e-5,0.9030324273356782,0.8136556328418504,1004.5527163276312,84.94920646271783,1647.9559118459345,6,95,3323.2350850414723,BADS
w457a2a0,6.570554099493705e-5,0.00011281766640902853,0.9009515729100348,0.5124929715625693,1101.0855695056305,289.18801011495816,1602.301082943204,6,95,3231.9254272360113,BADS
wc71252e,4.635316481067815e-5,5.8573712188777905e-5,1.0150978473475878,0.7420298249452572,1599.8300434664998,401.20972667118616,1581.7870454586257,6,87,3190.3695396291787,BADS
w8250429,5.630740576498317e-5,6.547311615699447e-5,1.0659622977284322,0.6233063632937091,855.3031438680925,175.28276226333318,1533.8612306987047,6,88,3094.5864822842786,BADS
w5dd5645,5.066224308392849e-5,4.898813448425304e-5,1.2585542543083954,0.6837745361091754,1154.9836726762576,275.8152671330207,1479.5676894653625,6,82,2985.5756944143104,BADS
wa64273f,7.29871164485586e-5,5.1037891128350716e-5,0.9481368747939996,0.8506363417833199,913.7292108516704,86.86990104815756,1645.163360600627,6,92,3317.457452663548,BADS
w578a7cb,6.193678388366185e-5,6.851847168942643e-5,0.8218812278184436,0.6168219011196674,483.862118364624,246.777397665707,1659.3943604077704,6,95,3346.111982165144,BADS
wb651fe0,7.08762171231181e-5,7.666207972030943e-5,0.9804294327220485,0.6076073024689943,771.0055965548959,301.9616746602629,1478.7671385190476,6,87,2984.3297257500226,BADS
wcb87506,0.00011965575135627954,9.694139101015991e-5,0.9654963546320948,0.5885160057158234,335.1607810045571,82.72976903623835,1435.2987869878084,6,90,2897.5964319975983,BADS
w11ae0c3,0.00012535406867067835,8.003400390905166e-5,0.95733273864966,0.6598772649484923,904.5990713302726,225.56023141196408,1457.9726839531381,6,90,2942.9442259282578,BADS
w0c70a81,4.825406014023979e-5,7.029679012568056e-5,0.950951814449326,0.6664837532739983,734.4032734326325,93.68527234535527,1694.7283046198102,6,95,3416.7798705892237,BADS
wbcb6e6a,5.848766693896109e-5,0.00010649320615208711,1.0139800371953436,0.5239811742232633,719.6975411238242,120.76250121296809,1523.8900486003372,6,89,3074.7119154190673,BADS
