wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,method
w3c803c1,7.514830831352948e-5,9.085775082683988e-5,0.8139954742998928,0.6757502224580236,733.1660840051721,62.551368162447964,2419.1309464482833,6,140,4867.911747432223,DE
wdaebe9a,8.174616267288272e-5,8.421940602172698e-5,0.9022093850635741,0.8139878639168333,1004.812754408253,84.83071472426907,1647.9557809023627,6,95,3323.2348231543288,DE
w457a2a0,6.570696063842948e-5,9.999999999999991e-5,0.9010459583392527,0.5001612884141486,1100.7936809872551,291.3273235093344,1602.8018174530978,6,95,3232.926896255799,DE
wc71252e,4.5836832957823815e-5,5.862784134877473e-5,0.999999999999978,0.7425758636467796,1613.8059657376484,400.9801292687628,1581.8121819013757,6,87,3190.4198125146786,DE
w8250429,5.378701483730914e-5,6.54547489410355e-5,0.9999999999999999,0.6228052097363266,904.9284351252098,175.82151496722946,1534.2050311125356,6,88,3095.2740831119404,DE
w5dd5645,4.321062925820432e-5,4.9004202765151654e-5,0.9999999999999971,0.6839780832060725,1401.9471799188045,275.5508742227922,1483.4985301295324,6,82,2993.43737574265,DE
wa64273f,7.297811694152376e-5,5.1054620691070463e-5,0.9476305741122589,0.8506578383774503,915.2129819599529,87.61281795902524,1645.1631159775823,6,92,3317.4569634174586,DE
w578a7cb,6.193359054587304e-5,6.853220564326788e-5,0.8219778414609552,0.6168968689918434,483.7291737842242,246.70898368574143,1659.3943552711187,6,95,3346.1119718918408,DE
wb651fe0,7.080439958640018e-5,7.676247145768982e-5,0.9788632337369575,0.6081793534216416,772.2426765227066,301.57859996502236,1478.7668517417812,6,87,2984.3291521954898,DE
wcb87506,9.999999999999903e-5,9.699336073620791e-5,0.848623444074621,0.5892209985436027,372.9320804789476,82.18792845099526,1436.781028166109,6,90,2900.5609143541997,DE
w11ae0c3,0.00010000000000000009,8.006671561458543e-5,0.8243251117504744,0.6602497341276861,937.3952868809573,225.1432950850705,1460.3301363687099,6,90,2947.6591307594013,DE
w0c70a81,4.827465271291534e-5,7.035259084096724e-5,0.9515550317327301,0.6667788248122882,734.1068437950805,93.49476098375357,1694.7282081676697,6,95,3416.7796776849427,DE
wbcb6e6a,5.7992230405790993e-5,9.999999999999956e-5,0.9999999999999993,0.5172680018259005,733.4577236492341,121.29463651816926,1524.0500736251815,6,89,3075.031965468756,DE
wdf61453,9.179337630614123e-5,6.956325783927917e-5,0.799277793749079,0.4930476593063601,555.3050411987116,295.59920187770115,1602.7840021165289,6,95,3232.891265582661,DE
wa3a9848,5.2298205851858725e-5,6.640266958303223e-5,0.9578155035964196,0.9711496237862854,1283.5498085579122,134.29094255441333,1578.3538105608359,6,87,3183.503069833599,DE
wf63b737,7.78036857308903e-5,9.999999999999938e-5,0.8653706807589627,0.568890563220159,997.1474193712488,253.25918520894885,1413.096249046634,6,84,2852.777398886328,DE
w4ff13f3,7.521160056565104e-5,9.50323610549328e-5,0.9999999999999943,0.5895425439506441,687.850703709173,82.45840573239273,1497.9816681406783,6,90,3022.962194303338,DE
w313d7aa,6.933600957987293e-5,9.999999999999796e-5,0.9279936363219738,0.5690920379628341,728.4636171964675,159.31025298042715,2378.486811053771,6,138,4786.537144218485,DE
w0e2f500,6.035173397926577e-5,8.544849899070117e-5,0.6895669176387975,0.7393028836087367,536.1970904101079,445.9818006311708,1530.4959394671168,6,89,3087.9236971526266,DE
waedfc9c,7.532466575777152e-5,8.127104927587368e-5,0.6878670870125098,0.6356036938557054,795.4404806167436,263.3998844065377,1566.989827952968,6,93,3161.1752528648553,DE
w96b09fe,5.974798534020841e-5,0.00010000000000000009,0.9077913145583001,0.7324373440542501,1023.8356633964491,186.83112530068067,1650.2236525173685,6,95,3327.7705663843403,DE
w9ff051d,5.662089329787134e-5,8.921837675338358e-5,0.9836013257674066,0.6192022536724502,1740.5524200398306,263.534257057496,1638.1296946872203,6,94,3303.5191580680607,DE
wdcfc216,7.993906351270632e-5,6.600231142540641e-5,0.709976370708951,0.47218628204412516,1126.8990096436512,242.8074977879226,1571.5487507747714,6,94,3170.357270243163,DE
w4a3c9b0,5.908283710759276e-5,9.999999999999938e-5,0.9999999999999952,0.5050711429439058,723.8243049828499,272.9668217259924,2133.5066096171195,6,125,4295.983101658053,DE
wde62b3d,6.691002064426971e-5,7.033414011884473e-5,0.7720072486921773,0.5976952374680427,488.945168799017,85.45788395563689,1587.8893207676226,6,92,3202.9093729975393,DE
w5284fa9,0.00010000000000000009,9.999999999998748e-5,0.665417947187873,0.6880800594743859,1031.024681425725,315.0017834046199,1550.6709627308594,6,95,3128.665186811322,DE
w18b16aa,0.00010000000000000009,9.999999999999991e-5,0.6915260671947677,0.629513777357381,798.2004586352441,176.02527509621856,2333.6334500545317,6,141,4696.959459451333,DE
w430272a,0.00010000000000000009,9.999999999999743e-5,0.8211608182662926,0.5946041792091792,951.9442614968265,215.19567224735704,1587.4770672654536,6,95,3202.2773958805105,DE
w2121301,9.999999999999991e-5,7.973041485617458e-5,0.7036736708202507,0.667748725784259,626.285200072891,120.18708904435466,2407.0154623100225,6,144,4843.849804417501,DE
wb14ab17,8.111861262706253e-5,6.861893266471723e-5,0.864991452875311,0.483715269099991,537.8858499813807,455.35191413972393,1605.8532452510253,6,94,3238.966259195671,DE
