difficulty,mean,std,n_subjects,sem,trials
2.0,8.335537775295654,0.3579512469776877,37,0.058846822507821694,279
3.0,8.169955880896637,0.3809156304662261,44,0.05742519195627919,305
4.0,8.091262780758912,0.35226330116868715,45,0.0525123124927777,377
5.0,8.104847252187794,0.3600503133092664,37,0.05919190688702,374
6.0,7.927120881239454,0.31260282025209674,39,0.05005651248123175,423
7.0,7.893284702468364,0.3465591581856431,37,0.05697397464711685,453
8.0,7.912713428037083,0.3691779092484027,35,0.06240245615061314,372
9.0,7.777486973300701,0.3295138556491489,45,0.04912102538397,473
10.0,7.845417986937271,0.3248030460755129,40,0.05135587082796176,470
11.0,7.773024743177018,0.27951811357625206,45,0.041668100193267096,560
