wid,true_d1,true_d2,true_θ1,true_θ2,true_T1,true_T2,fitted_d1,fitted_d2,fitted_θ1,fitted_θ2,fitted_T1,fitted_T2,neglogl,n_trials
recovery_001,4.654526923734822e-5,6.0068551492124044e-5,0.27257951589468465,0.802825564365156,2935.577970446203,2320.917727787569,0.00031278789477648145,5.923567363664197e-5,0.0029101435339544336,0.7504276169894729,3717.6360618090257,2582.71811157465,263.75461726216946,100
recovery_002,0.0006565054223937907,0.0002640246470419014,0.25016203168587436,0.7438885751315018,3684.4767903250718,2890.5546494662067,0.002545065990236534,0.00035323324213556523,0.10638724515098148,0.6223454271913943,4451.5183012706975,3286.6834666157956,137.21667448206227,100
recovery_003,1.2804949469388574e-5,3.3844407374490535e-5,0.06087740687919321,0.3134413875904296,1160.6175655403251,4564.121851039579,2.9037711680479397e-5,8.076996521550164e-6,0.1421641122616646,0.25382024436157313,1016.4207029413859,4933.917846349558,151.9190146123981,100
recovery_004,4.033908745514825e-5,0.00038381994662604104,0.317378663638375,0.45329318713843986,3160.320904619207,3439.7950346566354,1.6619510291729443e-5,0.00040827874831626533,0.2544236953033059,0.3841494268906271,3401.076735728044,3683.54757058054,127.49663601353377,100
recovery_005,0.0002932415125652572,2.1651852624483806e-5,0.08654020146529708,0.19120174245402577,1968.88423015037,4015.014366182086,3.430332100766308e-5,4.800524738494719e-5,0.17550941109273005,0.15680644013165992,1427.0821117063967,4402.49268618166,140.85309102142202,100
recovery_006,0.0003392295822707469,0.0007564290663113293,0.6857627178236415,0.9435694167035407,4054.5338611192924,3461.388494902019,0.00047318346105525,0.0009416720747575346,0.4934926057147095,0.5553986744332361,4790.090288502688,4260.207062331028,112.98011914585865,100
recovery_007,0.00027979248540986476,0.0001456088145379436,0.29906666217483807,0.901617148065879,2071.908561772858,4364.390122174604,0.00040935877740538846,0.0001606066614022609,0.27352371297354694,0.9548069456906524,2241.7031919881993,4442.061235428264,224.12694531326684,100
recovery_008,0.0006462882959421554,0.0009639949646696583,0.4394224441332469,0.6871623946071463,2077.319401004761,920.5965863882627,0.0005760747746107728,0.0030785342565052805,0.47359675311274263,0.6116202126689677,1962.1026032264124,1662.2534910464308,68.81082290009448,100
recovery_009,6.784253787283535e-5,0.00012067633612538074,0.17605991076736197,0.04305483059793835,3129.9525566334987,1779.1314279161065,6.819552664507849e-5,1.226946904547691e-5,0.11619249857753633,0.04460724041539269,2947.574442467294,2287.878658314628,144.7353591837034,100
recovery_010,0.0004258105220740762,0.00043005384072030675,0.3483766649134371,0.4574449449328566,4367.3116433383575,1583.359686580278,0.00043691328594309015,0.0005326468783008179,0.3662799337101751,0.4405503837161814,4212.157870744704,1903.261751960963,96.15451643523575,100
recovery_011,4.6244319567473144e-5,3.002291564421874e-5,0.9640938579513375,0.31479407088899153,4675.489051032988,4282.378373311742,7.1586933577163e-5,2.756550316596841e-5,0.9792983641580212,0.04221618543844675,4842.47364330804,5192.662382265552,292.2766412954829,100
recovery_012,7.487280742556957e-5,6.29609116160892e-5,0.8040208393996492,0.2566015084717933,2223.0511432662224,3772.0629954429746,4.9513045758606036e-5,7.605009922683838e-5,0.6872298885474447,0.3706921512761619,2776.480833441019,3332.917704846477,257.1632988325094,100
