wid,true_d1,true_d2,true_θ1,true_θ2,true_T1,true_T2,fitted_d1,fitted_d2,fitted_θ1,fitted_θ2,fitted_T1,fitted_T2,neglogl,n_trials
recovery_001,4.654526923734822e-5,6.0068551492124044e-5,0.27257951589468465,0.802825564365156,2935.577970446203,2320.917727787569,3.899400035710274e-5,1.0021285697362754e-6,0.2822884367651057,0.7439256664456491,2980.6642050558476,2630.445891955833,1743.5963337821127,100
recovery_002,0.0006565054223937907,0.0002640246470419014,0.25016203168587436,0.7438885751315018,3684.4767903250718,2890.5546494662067,0.0008030319912230448,0.00025100193008143737,0.23823063325783556,0.6983727683950293,3711.476524553666,2958.2067324125546,1520.1593987427564,100
recovery_003,1.2804949469388574e-5,3.3844407374490535e-5,0.06087740687919321,0.3134413875904296,1160.6175655403251,4564.121851039579,1.1299226667610255e-6,1.1051142092924281e-5,0.06223555565491554,0.2970969620160759,1163.1420458346838,4624.616348309792,1273.6076196873062,100
recovery_004,4.033908745514825e-5,0.00038381994662604104,0.317378663638375,0.45329318713843986,3160.320904619207,3439.7950346566354,1.8697438459939343e-6,0.00044286915597566406,0.2986425548070162,0.41590801584080567,3233.943459705318,3508.9099265408267,1536.458473027766,100
recovery_005,0.0002932415125652572,2.1651852624483806e-5,0.08654020146529708,0.19120174245402577,1968.88423015037,4015.014366182086,0.00021114053898867177,1.1251927145718674e-6,0.08659722151072634,0.18488637622571674,1973.827620837801,4048.554544136266,1247.035018197475,100
recovery_006,0.0003392295822707469,0.0007564290663113293,0.6857627178236415,0.9435694167035407,4054.5338611192924,3461.388494902019,0.0003328432394810222,0.0008321417730490069,0.6516645329620224,0.9449186444818043,4094.91788627347,3488.3446970256045,1561.3489490273412,100
recovery_007,0.00027979248540986476,0.0001456088145379436,0.29906666217483807,0.901617148065879,2071.908561772858,4364.390122174604,0.0002924667385307018,0.00014652834876902816,0.3125894817054269,0.8723441403052586,2107.6633004779055,4686.996732696574,1683.9996353095808,100
recovery_008,0.0006462882959421554,0.0009639949646696583,0.4394224441332469,0.6871623946071463,2077.319401004761,920.5965863882627,0.0006017136915254851,0.0012333125338750766,0.4559918119572103,0.8045624703262001,2064.662849949673,930.1080466713755,1380.8998942346564,100
recovery_009,6.784253787283535e-5,0.00012067633612538074,0.17605991076736197,0.04305483059793835,3129.9525566334987,1779.1314279161065,1.3650132567439358e-6,1.108384662147315e-5,0.17615612232084701,0.04252584812131723,3140.6802130094957,1780.9694607519828,1110.5944474902442,100
recovery_010,0.0004258105220740762,0.00043005384072030675,0.3483766649134371,0.4574449449328566,4367.3116433383575,1583.359686580278,0.0004791984927698475,0.00043192269959469376,0.36623652372903964,0.40506522987886,4399.505922397748,1649.69278072399,1454.1832507752401,100
recovery_011,4.6244319567473144e-5,3.002291564421874e-5,0.9640938579513375,0.31479407088899153,4675.489051032988,4282.378373311742,5.303267320977747e-5,1.037469650347088e-6,0.9366535528042004,0.2931949767883634,4923.408035744796,4321.913149190367,1777.062228085025,100
recovery_012,7.487280742556957e-5,6.29609116160892e-5,0.8040208393996492,0.2566015084717933,2223.0511432662224,3772.0629954429746,7.793693678327677e-5,1.0115785529385835e-6,0.7588607327481508,0.236028870100065,2358.269121423484,3811.1078152071395,1694.117101135152,100
recovery_013,0.0004845147759807035,0.00021176390660063968,0.9957179354406118,0.2596937212401008,1019.7453970244622,483.01791928335706,0.000480574662255323,0.00015770798965973864,1.0740216573005645,0.21891734153277526,1070.563702934089,521.2244362299202,1505.6527918901468,100
recovery_014,1.9005206633061358e-5,0.0002622312030108231,0.12440864465608843,0.906352938612637,3721.479725717949,2014.8564363509815,2.116152733361989e-6,0.0002670827398860032,0.11975283961743116,0.9284058062545955,3729.9453947693105,2097.853096947074,1465.6499169462345,100
recovery_015,0.0007473626198999824,0.0002892357734877524,0.8947772520878252,0.8111421734812254,1580.9129030569832,2368.3886025473635,0.0007195429911265887,0.00028000513984494953,0.8510072678334074,0.8098903834736529,1605.128825988595,2428.951482174182,1568.2535047324952,100
recovery_016,0.0006205646173817866,1.758120227378505e-5,0.22319801194093616,0.03292382635572602,154.8983026793645,812.6538774906553,0.0006035454952778537,8.289431485573997e-6,0.19996760889456822,0.03299418040072772,179.00309041474733,812.9574068746555,1027.188701604778,100
