wid,d1,d2,θ1,Δ,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,4.2983132705269955e-5,5.86206764766358e-5,0.6098851024038732,0.39950725301819034,836.4923533267248,509.2264035515316,2475.1599694567344,6,140,4979.969793449125,BADS
wdaebe9a,7.971560563208064e-5,6.435438478500562e-5,0.6927532914676704,0.5514142918807919,1223.8051264954265,745.1813414576462,1663.5660787833008,6,95,3354.455418916205,BADS
w457a2a0,6.678736565199947e-5,4.316302307353813e-8,0.793337820234592,0.24023592382611242,1092.831124912482,666.6428255455684,1628.381026726349,6,95,3284.0853148023016,BADS
wc71252e,4.250828478826946e-5,1.6988856013866018e-9,0.865123956099851,0.33856542396766603,1702.614101668587,1267.4301586434017,1602.9340464136444,6,87,3232.663541539216,BADS
w8250429,4.8592850164444376e-5,3.154055057059877e-5,0.8422923809289932,0.3136363105475903,956.0207802802324,646.1329810321333,1532.2390732877816,6,88,3091.3421674624324,BADS
w5dd5645,3.667917607618725e-5,4.093967906606846e-5,0.8813319392717506,0.31032497600596803,1506.420170658737,928.3597129276586,1489.0183962973263,6,82,3004.477108078238,BADS
wa64273f,5.311770068952697e-5,3.392378623321613e-5,0.64185049978352,0.4652999915700903,1293.8732439645025,915.0171450215156,1678.0266563967743,6,92,3383.1840442558428,BADS
w578a7cb,4.8122057876430026e-5,6.288265027658586e-5,0.6772651368517107,0.3458627007530959,539.4503044708473,745.5726758268611,1684.5446827812789,6,95,3396.412626912161,BADS
wb651fe0,6.197033585997029e-5,2.862516318371732e-5,0.8071784284459061,0.2961186151841273,695.086947829316,769.9647395365462,1493.4202453911596,6,87,3013.6359394942465,BADS
wcb87506,7.604873342781901e-5,3.2113905822921956e-5,0.5750360171927605,0.30946338013745844,510.91963974759017,415.299320436316,1470.5286686634076,6,90,2968.056195348797,BADS
w11ae0c3,9.427250824875673e-5,1.9649168264401308e-5,0.606386216529645,0.3492081065988168,1121.1393987527117,726.8583769677209,1496.0196066402868,6,90,3019.038071302555,BADS
w0c70a81,4.129841754093812e-5,5.415536259595745e-6,0.7856746929883957,0.34982966030016543,994.9762768112123,811.3152555190027,1716.5852422935336,6,95,3460.4937459366706,BADS
wbcb6e6a,6.0347691373993514e-5,5.2877628027491724e-9,0.9835461011331774,0.20985467599841545,504.9603511722378,572.8115822454726,1542.4148742582106,6,89,3111.761566734814,BADS
wdf61453,1.6876538848597865e-8,7.953213855572116e-5,0.5046640179492533,0.3321588224719744,756.9007072066598,611.8058203639522,1679.5901023418887,6,95,3386.503466033381,BADS
wa3a9848,5.364868844845903e-5,6.389453945300482e-5,0.8119090847008933,0.6473024629935142,1462.3323247954647,961.8927101468092,1590.964179770332,6,87,3208.7238082525914,BADS
wf63b737,7.307055970949643e-5,7.1997938785006466e-9,0.7847911023427903,0.2573453698019857,952.9645381104809,786.4056695417263,1437.864623689912,6,84,2902.3141481728835,BADS
w4ff13f3,5.5459815115462884e-5,3.840695016373495e-5,0.7530357034984263,0.29656846186200253,803.1234567132061,476.9491674294158,1522.0535094248517,6,90,3071.105876871685,BADS
w313d7aa,5.983939828682771e-5,2.2756143862645416e-5,0.7636224886944577,0.29186239858250973,800.9498162663995,575.985851896515,2400.937409266448,6,138,4831.438340643839,BADS
w0e2f500,4.001688285645792e-5,9.52724810810012e-5,0.567651668866165,0.500221029444947,585.864245417179,822.4176871997769,1562.4069822003091,6,89,3151.745782619011,BADS
waedfc9c,7.393023688934098e-5,6.85612368669032e-5,0.5312130355834961,0.40912235736846925,900.0576257705692,792.1395540237427,1587.479231935835,6,93,3202.1540608305895,BADS
w96b09fe,7.50951314907081e-5,8.941566924492523e-6,1.035940957069397,0.36194132447242733,805.016142129898,888.0538821220399,1679.6166976513352,6,95,3386.556656652274,BADS
w9ff051d,5.781744913332626e-5,4.7745394782802726e-5,0.8064534847552568,0.3300353969230491,1889.6734487570939,739.1546340237259,1649.5234319038366,6,94,3326.3066325012933,BADS
wdcfc216,5.56334078957205e-5,7.360263654868221e-10,0.5308483166567421,0.24199770177489632,1269.8318769898458,596.6129292904754,1606.5698800425914,6,94,3240.399528778803,BADS
w4a3c9b0,5.5996800025562315e-5,7.86730608613764e-5,0.9010642706187718,0.33716486103969145,668.679278568652,572.925537759784,2151.885497991575,6,125,4332.740878406964,BADS
wde62b3d,1.687760616098714e-9,0.00011346010983804173,0.551049425459985,0.337423302678699,692.821427699035,457.21249344370784,1631.6494741920053,6,92,3290.4296798463047,BADS
w5284fa9,6.23797274809998e-5,0.00012767233834219596,0.4753105042100217,0.581533250337794,1122.111316806279,617.7077614020365,1605.1830528198982,6,95,3237.6893669894,BADS
w18b16aa,6.846765574553828e-5,4.645885277896081e-5,0.517202033996582,0.3521918058395386,913.1057500839237,577.3421049118045,2397.518516030462,6,141,4824.729591403193,BADS
w430272a,9.141549571620042e-5,1.7721245187817757e-5,0.7324527457305408,0.32763166545993844,962.2074058702937,684.2153910234971,1616.004842404776,6,95,3259.332946159155,BADS
w2121301,8.620089478500475e-5,2.0522104457696354e-8,0.5521591247046521,0.38753768261995064,714.0201699525676,656.0751923941783,2478.14080605234,6,144,4986.100491902136,BADS
wb14ab17,4.952677777448828e-5,3.8860190690960774e-5,0.6764948379248381,0.23834921672940254,598.8986857235432,873.3219072222709,1630.7360600518475,6,94,3288.731888797315,BADS
wc59a729,7.477730781479632e-5,3.4863496289754957e-6,0.8135209609498271,0.2916214963211678,1052.4183471163271,774.0086024685298,1653.1331059159263,6,95,3333.589473181456,BADS
wcb4623a,6.525664167601736e-5,2.935280127869194e-8,0.7770867764775176,0.3083927017368842,917.9898147063798,1714.1765484702773,1691.2466523428698,6,95,3409.816566035343,BADS
w672a25c,6.429468708147596e-5,3.242885471726934e-5,0.6487025478482247,0.4061312410235405,1109.3296661973002,897.8864133358002,1554.2444455418058,6,89,3135.4207093020045,BADS
wf36c682,7.007469812873854e-5,2.718288149367721e-5,0.5744279461205587,0.26126119912543805,790.3733247527272,619.2632484337086,1637.790653040824,6,95,3302.9045674312515,BADS
w5c58b96,4.643437448969261e-5,2.4790604074053923e-5,0.8981842041015624,0.3565664672851563,1420.5307006835935,883.3816528320312,1476.479682231338,6,83,2979.472408109456,BADS
w397496b,8.01657129651562e-5,4.003531482712386e-5,0.5891179592162371,0.422607629224658,905.0330050289632,719.791789352894,2512.604018528422,6,145,5055.068439511368,BADS
w9376389,5.2496106914502046e-5,1.202527736471461e-5,0.9425179129232129,0.39324773378924877,1547.6701233190397,1420.508326619529,1585.7585116454586,6,87,3198.3124720028445,BADS
w158db17,7.145102625648583e-5,1.6607963842019518e-5,0.646526382690004,0.2059266441614873,858.5263331547332,460.51975355226165,1568.6890484047221,6,95,3164.7013581590477,BADS
w9864444,6.971913466433252e-5,6.312958546211835e-8,0.4275948681496084,0.23574303559958934,649.5031403377652,346.978141111322,2380.123231449649,6,145,4790.106865353822,BADS
w05e5ad5,6.093584947847358e-8,0.00011746265319728773,0.7043269149990738,0.5430729387966494,466.95300762967236,534.0811653922177,1685.6499549606026,6,90,3398.2987679431867,BADS
w6d23692,6.432290223107444e-5,3.0702278334570525e-8,0.6256479345176496,0.3361107936843643,768.6189737105581,508.45494695705344,2459.7483402983935,6,140,4949.146535132443,BADS
we289943,8.422626424258916e-5,1.628768187954325e-8,0.6405757048167289,0.2939383589848876,976.1950908228756,514.5631848834458,2399.6601693687544,6,141,4829.012898079778,BADS
w6f95ee3,9.806001977145043e-5,1.2303468707029405e-10,1.027258056176114,0.25094301455353785,1081.9583113886356,1200.9248855253365,2481.508742520945,6,145,4992.877887496414,BADS
w6eb2a0a,5.243970683182414e-5,2.111116953586586e-5,1.0621124109964877,0.4019200705781987,2033.7050082354835,1231.9797371383177,1332.452324052698,6,75,2690.809576786614,BADS
w2424d8d,4.8570448343409684e-5,7.639362664919483e-5,0.5469189244395603,0.33369940247416935,823.4045898450236,582.4534437751598,1683.0799044338917,6,99,3393.7305279685906,BADS
