wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,0.00013407745052932912,0.00011953310799789671,0.7670362808098252,0.7836959510067207,1080.9231179186102,10.089646651977258,2365.796965246653,6,140,4761.2437850289625,BADS
wdaebe9a,0.00012304223713452671,0.00012383964210756448,0.8383948519741534,0.645492497804662,1509.060990286889,775.0383221435186,1602.7248237780611,6,95,3232.7729089057257,BADS
w457a2a0,9.940609236387554e-5,0.00012105474222138445,1.0144201225604954,0.5236812229328643,1139.8637021273316,329.84246387586643,1583.4620157367385,6,95,3194.2472928230804,BADS
wc71252e,0.00011286728012332333,5.228707381759292e-5,1.1572660728396809,0.5147248766373826,1912.4331485106914,900.8290707829716,1525.3118220244714,6,87,3077.41909276087,BADS
w8250429,7.212116677910875e-5,0.00022240136640755154,1.165654602050781,0.46464378356933594,1101.8562316894531,418.8350677490234,1488.5752132088298,6,88,3004.014447304529,BADS
w5dd5645,6.342723364056129e-5,9.915696919579226e-5,1.2774567138751263,0.4420122481109092,1425.1161282001701,632.0110268828557,1427.097709049793,6,82,2880.6357335831713,BADS
wa64273f,0.00014270934056685372,7.54288974222314e-5,1.0302848402387461,0.6659835301584098,1416.9646811322311,1253.6998677707745,1598.7378311351567,6,92,3224.6063937326076,BADS
w578a7cb,0.0001116691761582353,9.068041598498954e-5,0.8429429267533124,0.5749705657083541,659.4813492381945,366.51466614566755,1619.6830333474663,6,95,3266.689328044536,BADS
wb651fe0,9.447682179904073e-5,0.00010455648674119175,1.1998103665961468,0.5154991589378457,651.513361194722,392.72995259897846,1451.1093541930882,6,87,2929.0141570981036,BADS
wcb87506,0.00012369974241653698,0.00011602420409949879,0.9106525003353838,0.6217264584363815,406.01029084330116,105.64071829233583,1431.7576707561689,6,90,2890.5141995343192,BADS
w11ae0c3,0.0001369822729563864,9.627812689666214e-5,0.7010685095377267,0.7117473421385512,1265.3373413020745,249.78939702268735,1444.4478701812395,6,90,2915.8945983844606,BADS
w0c70a81,0.0001101153198477152,0.0001377034194102819,0.9282904382068955,0.6449962631530071,1577.9294243264303,328.444321684583,1628.4952792984682,6,95,3284.3138199465398,BADS
wbcb6e6a,0.0006323397297658274,0.0009999999999999363,0.6315472678745503,0.004736203270603001,2797.759940155208,814.4193112339344,1561.0057350855864,6,89,3148.9432883895656,BADS
wdf61453,0.00014668055293366354,9.714829504833047e-5,0.9094054776796837,0.4615643596756854,591.5640804203575,399.34033490571903,1585.737880460313,6,95,3198.799022270229,BADS
wa3a9848,0.00011074002096170821,0.00015171273779656348,0.8256122642743867,1.0701764599618036,1696.2020511447918,465.76898496714443,1527.5890260355945,6,87,3081.9735007831164,BADS
wf63b737,0.00010300072782077854,0.00014033089745377856,0.7736894303354165,0.6235734406167467,1136.6864243398595,365.0138656741546,1390.3433759700397,6,84,2807.271652733139,BADS
w4ff13f3,8.88381851830581e-5,0.00011850577580140857,1.0914023212590065,0.5432720834910995,699.8312320750543,189.5760801900809,1480.4355949107753,6,90,2987.870047843532,BADS
w313d7aa,9.202680631742093e-5,0.00014110382075666216,0.9062521915882826,0.4671288102504331,1114.3687514471821,261.16402896586817,2325.4198628798445,6,138,4680.403247870632,BADS
w0e2f500,0.00010064810520406673,0.00017055187941199785,0.6286147086525079,0.9089618688574934,698.4522270398315,449.35277016916746,1486.4052472191925,6,89,2999.742312656778,BADS
waedfc9c,8.86926815707188e-5,0.00013019786484655396,0.5301217895746231,0.6029197734780609,1144.4031490944326,597.4059475585823,1544.5777791256066,6,93,3116.3511552101327,BADS
w96b09fe,7.457875989264817e-5,0.00013573635951102923,0.7881729748000361,0.6566027512070286,1386.3015312792415,593.0552201858522,1629.0055617169749,6,95,3285.334384783553,BADS
w9ff051d,7.897833857482685e-5,0.00012019269661316786,0.9849505896626215,0.6272875831078272,2148.411519655201,295.91618353515554,1610.8064403247715,6,94,3248.872649343163,BADS
wdcfc216,0.00013287673361546615,6.858917075332889e-5,0.8851388012384995,0.4511043731682003,1137.2626286931338,285.64336299896274,1561.695733607002,6,94,3150.651235907624,BADS
w4a3c9b0,0.0009999999313776184,0.0009998977578760202,0.24819471284747127,0.005257088020443943,2657.042638584971,900.1814208924774,2200.396798948912,6,125,4429.763480321638,BADS
wde62b3d,9.4472054483742e-5,8.663941982803145e-5,0.8303106696033512,0.6372369032913131,537.5144902129455,118.83033632027204,1566.1319036829716,6,92,3159.3945388282373,BADS
w5284fa9,0.00011798539767121955,0.00015129420871460528,0.6044405513434321,0.799903782949841,1163.0382696108425,443.52122297714277,1538.3782507941874,6,95,3104.079762937978,BADS
w18b16aa,0.00016896575317790005,0.00011810477117568092,0.7325935472546371,0.6364072583019333,1000.4559195476761,211.3755190303891,2303.454648820719,6,141,4636.601856983707,BADS
w430272a,0.00016459469937287976,0.00012741305463308717,0.6966855835415554,0.5823008236061117,1141.6697097076633,528.6706546870857,1564.329955033178,6,95,3155.9831714159595,BADS
w2121301,0.00013811941883203386,0.00013999197725876792,0.6652203617997292,0.6854235088356654,772.3891845660545,531.417878584034,2348.424206720906,6,144,4726.6672932392685,BADS
wb14ab17,0.00013882916883412418,7.010788124850756e-5,0.795294628739357,0.39396650230512026,1017.2050236724317,580.4678428918126,1575.4805038319698,6,94,3178.2207763575598,BADS
wc59a729,7.789613700981574e-5,0.00014662366909393626,0.8001402741411584,0.6687048835169844,1230.0556860929646,297.55661391500354,1606.8515221502548,6,95,3241.026305650113,BADS
wcb4623a,9.138233440453179e-5,0.00011714829870388157,0.8672172854844393,0.6448204549073853,1050.58365541081,1145.6362103090216,1625.8946380092866,6,95,3279.1125373681766,BADS
w672a25c,0.0001243860065478258,9.815076651632776e-5,0.8386701414779728,0.7731746702078875,1342.2554653156412,688.3421646024534,1489.9987522661047,6,89,3006.9293227506023,BADS
wf36c682,0.0001349934451942493,0.00010450977983375883,0.6825540399551392,0.549147577881813,802.0910233259202,274.1220057010651,1573.7684294821765,6,95,3174.8601203139565,BADS
w5c58b96,8.940293396009383e-5,0.0001184704112856553,1.4913086163206069,0.7652694635242643,1261.7582402944308,320.6580397102459,1412.9003356210574,6,83,2852.3137148888945,BADS
w397496b,0.00014067307140236987,0.00010876755019206435,0.9196151842271865,0.7203641918556423,788.5502203009311,336.13916560971154,2411.7042442116385,6,145,4853.268890877801,BADS
w9376389,0.00010244524698824236,0.00011878356113400632,0.7114908368596844,0.8528751804611603,3412.9644850708246,678.4286178854021,1513.228275408906,6,87,3053.2519995297394,BADS
