wid,d1,d2,θ1,Δ,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,6.238729545452768e-5,7.97133353294049e-5,0.6816702091693878,0.5204924714565277,783.8661193847655,459.0590357780455,2461.8389538785973,6,140,4953.327762292851,BADS
wdaebe9a,8.375418840375589e-5,7.28032335836256e-5,0.7630267798900604,0.5795030760765075,1143.3217763900757,746.2174773216246,1663.8298143883335,6,95,3354.9828901262704,BADS
w457a2a0,7.108628256128854e-5,8.731692607697153e-5,0.753655353686263,0.35910424956920906,1258.8643915732973,567.0323872407605,1612.3615682004483,6,95,3252.0463977505,BADS
wc71252e,4.536666143010397e-5,4.499768755204211e-5,0.8113530085296952,0.4055136079652584,1904.6164538391167,1240.3936378250362,1592.819180549882,6,87,3212.4338098116914,BADS
w8250429,6.729123349620257e-5,1.5452805361791864e-6,0.895599349278491,0.21825532185146587,1206.2184277107008,647.3378982860594,1534.2161908654944,6,88,3095.296402617858,BADS
w5dd5645,3.7478743686543746e-5,3.789766117746304e-5,0.8958198798757075,0.3385285231870512,1524.210268825118,932.7879999342257,1488.4744512604864,6,82,3003.389218004558,BADS
wa64273f,5.397040894516255e-5,3.965281479043217e-5,0.6650848486253466,0.5796344446215529,1149.7333024976647,859.8431469903256,1675.2549721333846,6,92,3377.6406757290633,BADS
w578a7cb,4.896640999483535e-5,5.811630739903629e-5,0.694457570197992,0.39053635219228455,463.0340373143553,731.6256299731319,1683.577851961782,6,95,3394.4789652731674,BADS
wb651fe0,6.358748147755035e-5,4.944258432552071e-5,0.8492963260405668,0.3167435298176861,709.6141413152507,699.1350230950046,1491.7990720310847,6,87,3010.3935927740968,BADS
wcb87506,8.911013237139833e-5,6.81925538285186e-5,0.6581377622531727,0.37556347368750725,410.0613072048871,414.7009066771716,1464.0543556384073,6,90,2955.107569298796,BADS
w11ae0c3,9.255913245685013e-5,6.129515914149653e-5,0.5980954959022347,0.46613374537555496,1157.150051323697,553.0006127664819,1489.3975371865506,6,90,3005.7939323950827,BADS
w0c70a81,4.5721176102391965e-5,7.053343493690199e-5,0.7482942453812984,0.47931322793166603,1064.5766314087268,606.2746596676787,1710.0285362508032,6,95,3447.38033385121,BADS
wbcb6e6a,5.6271460932530544e-5,6.947971780891172e-5,0.9148863748740406,0.3028536670701579,712.7222489216363,501.0583165800198,1535.9418248964193,6,89,3098.8154680112316,BADS
wdf61453,6.548441447483402e-5,3.791672592812377e-5,0.624719244393541,0.29205490662709965,666.9390471351562,668.6780591307979,1643.4485334829365,6,95,3314.2203283154763,BADS
wa3a9848,4.9085341438824556e-5,6.487818013452155e-5,0.8157002965402613,0.6308982712098933,1322.389170535783,1028.8756983863263,1589.8013475317136,6,87,3206.3981437753546,BADS
wf63b737,6.954448651098437e-5,6.682436293554946e-5,0.8479006394147472,0.40663316350044626,818.3241081602317,641.2313234937753,1428.3993770929114,6,84,2883.3836549788825,BADS
w4ff13f3,7.068617344596043e-5,3.8080565286411e-5,0.9255037835105259,0.2664322159107178,606.5198053118364,476.4398301325854,1517.710445260563,6,90,3062.4197485431073,BADS
w313d7aa,6.56363402391029e-5,7.371003190910083e-5,0.8306266387412323,0.3047279585618526,694.1626251675189,541.4346822071818,2391.374953708649,6,138,4812.313429528242,BADS
w0e2f500,4.39109691409183e-5,8.444988931119626e-5,0.5660490789965444,0.45942963412849486,564.7478778954254,884.2355660501615,1549.941300526909,6,89,3126.8144192722107,BADS
waedfc9c,7.235355365306563e-5,3.924690963659189e-5,0.5683411120890125,0.3844586238236039,925.398518876568,873.8793405631895,1590.4342514440327,6,93,3208.064099846985,BADS
w96b09fe,5.72892125829104e-5,8.968536826289245e-5,0.8214149618148804,0.5652968740463257,1037.9233360290525,638.8628005981444,1668.0402542518082,6,95,3363.4037698532197,BADS
w9ff051d,7.31123210313012e-5,4.693300535233233e-5,0.8412212182196543,0.3575595682674875,1972.6043394369283,745.9016889788408,1646.507034255,6,94,3320.27383720362,BADS
wdcfc216,5.6798644881237895e-5,5.368225878189238e-5,0.5354354498864768,0.27537649248886736,1217.6512122209713,576.6229081030358,1601.975884011597,6,94,3231.211536716814,BADS
w4a3c9b0,6.214080597319851e-5,9.2837923935864e-5,0.9904263795649476,0.4126121588716129,591.0054324753729,520.4313430702,2147.770969086232,6,125,4324.511820596278,BADS
wde62b3d,5.8874486084609927e-5,7.399724875284191e-5,0.6637278156216768,0.4516573366682439,513.6797847513662,453.8729847170542,1604.3339275663295,6,92,3235.798586594953,BADS
w5284fa9,7.457881493245969e-5,9.42804359568934e-5,0.4827107634377399,0.4909673847608701,1158.02434980842,703.7861798003177,1589.221150467408,6,95,3205.7655622844195,BADS
w18b16aa,7.39089286014788e-5,0.00010909601282034879,0.5362765558177168,0.4739684594807294,887.0123233980975,514.5503473516937,2385.959980763063,6,141,4801.612520868395,BADS
w430272a,9.934354420843957e-5,3.852285394861395e-5,0.7580327331771741,0.3321519445181366,925.9487568762777,648.1429368767292,1611.807667571286,6,95,3250.9385964921753,BADS
w2121301,7.765398893069654e-5,6.730724477873501e-5,0.5621114130268688,0.43857689214375567,673.9995084120892,597.3384206881746,2451.6204092398348,6,144,4933.059698277126,BADS
wb14ab17,5.8379569542822075e-5,4.1808496947543415e-5,0.677265886683017,0.22094321813434364,610.9400127083062,874.0544788539409,1628.01831364829,6,94,3283.2963959902,BADS
wc59a729,7.489646274706446e-5,3.942002249958829e-6,0.856475665350398,0.305551517726154,986.2160773100582,751.8559205529582,1653.9960082325258,6,95,3335.315277814655,BADS
wcb4623a,5.798480443804027e-5,2.6466665814759507e-5,0.7656940841411132,0.31107070502462975,842.49278260664,1645.1099006342138,1687.4560535006592,6,95,3402.235368350922,BADS
w672a25c,6.647847822879121e-5,5.906754940891043e-5,0.6996514567732811,0.5900845274329186,1064.3256634473798,731.1325818300247,1546.6303543530244,6,89,3120.1925269244416,BADS
wf36c682,7.489723129764136e-5,5.086500719877067e-5,0.5913450396060943,0.32531094044446945,726.933157444,563.8305634260176,1633.665701959065,6,95,3294.6546652677334,BADS
w5c58b96,4.4952531536181077e-5,7.808646454354585e-5,0.8947275750921653,0.5350254971519643,1411.7863311428662,674.8340190724773,1468.041331497489,6,83,2962.5957066417577,BADS
w397496b,7.56943274017359e-5,7.100615261605676e-5,0.6195931397564709,0.4838081240653992,815.4421012848616,608.7525447830557,2493.698633659537,6,145,5017.257669773598,BADS
w9376389,5.1998620469185504e-5,5.0966013572050506e-5,0.9278610248628137,0.5531828971324649,1664.627677417593,1223.0751235098066,1581.2716170806616,6,87,3189.3386828732505,BADS
w158db17,8.187569436298391e-5,5.700747409163533e-5,0.6518225028376207,0.23761727773767236,913.5459128709613,427.6003867747702,1565.166755652707,6,95,3157.6567726550174,BADS
w9864444,7.097247563296984e-5,8.198393767880624e-5,0.42710204124450685,0.3113785088062287,658.0016732215881,282.2442412376402,2361.644092569305,6,145,4753.148587593134,BADS
w05e5ad5,4.785652291875207e-5,5.1981897378033545e-5,0.7937353460636223,0.5238447538748733,452.3242938681505,644.4896828616038,1654.3184327736612,6,90,3335.635723569304,BADS
w6d23692,6.772846159565352e-5,2.8729852467893454e-5,0.6064076731756666,0.362174902821206,789.1769952140172,479.7789568251779,2452.503434505884,6,140,4934.656723547424,BADS
we289943,8.961949190931441e-5,2.34506171132032e-6,0.65921980646468,0.2639488853342482,958.3069559419527,520.9006116638192,2396.9768905742976,6,141,4823.6463404908645,BADS
w6f95ee3,9.633348867334211e-5,1.6725596675209224e-5,0.9847303394787014,0.28805818350985646,1118.919394351542,1169.8686657473443,2478.156201544152,6,145,4986.1728055428275,BADS
w6eb2a0a,5.551391769989456e-5,2.1989661938397035e-5,1.109901829002556,0.3739348232350312,1933.7063246581238,1247.2324581103746,1331.5658173858815,6,75,2689.0365634529808,BADS
w2424d8d,7.996580855566425e-5,8.982801732849345e-5,0.6551866807029131,0.41951533636576815,723.7222853561744,603.0563325409929,1668.2332259711773,6,99,3364.037171043162,BADS
