wid,d1,d2,θ1,Δ,T1,T2,neglogl,param_count,n_trials,bic,optimizer
synthetic_001,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
synthetic_002,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
synthetic_003,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
synthetic_004,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
synthetic_005,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
synthetic_006,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
synthetic_007,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
synthetic_008,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
synthetic_009,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
synthetic_010,0.000122600,0.001776700,0.738474100,0.0398208,188.2272950,236.5221880,0.08077009334360230,6,4589,-261.68652022460300,DE
