trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
1,2,4,2259.0,2352.0,-16.317791997835812,false,1000,-16.567513370715734,0.2497213728799217
2,2,4,2060.0,2415.0,-16.215681809847048,false,1000,-16.426525135487378,0.21084332564032948
3,1,2,3264.0,3606.0,-18.050220737824645,false,1000,-18.10537855584861,0.05515781802396447
4,1,1,2469.0,757.0,-18.420680743952367,true,8773,-19.211996130399996,0.7913153864476286
5,1,2,5601.0,3351.0,-18.420680743952367,true,1000,-19.07627181558113,0.6555910716287627
6,1,1,6992.0,2473.0,-18.420680743952367,true,1000,-19.32313133703809,0.9024505930857245
7,1,1,3163.0,840.0,-15.980276105814387,false,1000,-15.86681837207671,-0.1134577337376772
8,2,3,2355.0,1424.0,-17.92702192858987,false,1172,-17.788722275442975,-0.13829965314689474
9,2,3,2406.0,743.0,-14.73890727535312,false,1000,-14.763150162448863,0.024242887095743626
10,2,3,2182.0,3402.0,-16.969111788914642,false,1000,-17.01865254611589,0.04954075720124962
11,2,4,4316.0,2218.0,-18.3505084176014,false,1000,-18.097192864862187,-0.25331555273921325
12,2,3,2022.0,1306.0,-14.890297618977224,false,1000,-14.963291499335922,0.07299388035869825
13,2,3,1314.0,1565.0,-18.420680743952367,true,10000,-24.424869191895745,6.004188447943378
14,2,4,1786.0,2179.0,-15.63613990527072,false,1000,-15.665796492620952,0.02965658735023169
15,1,2,2244.0,2277.0,-16.64988350536333,false,1000,-16.89201227384404,0.24212876848070763
16,1,1,1162.0,823.0,-17.806965506713606,false,1000,-22.340339922669457,4.533374415955851
17,1,1,1583.0,813.0,-16.763921793351813,false,1000,-17.039848020520758,0.2759262271689451
18,2,3,1343.0,406.0,-15.189578456652429,false,1000,-15.303409333404701,0.11383087675227266
19,2,3,2737.0,885.0,-16.991986450392822,false,1000,-16.895918856725302,-0.09606759366752016
20,1,1,4831.0,1406.0,-18.420680743952367,true,1653,-19.55723259014556,1.1365518461931927
21,2,4,5316.0,3822.0,-18.420680743952367,true,1000,-23.16934225986774,4.748661515915373
22,1,1,2269.0,1413.0,-15.911715285119179,false,1000,-15.84902261471014,-0.0626926704090387
23,2,4,1624.0,2118.0,-16.81926381374268,false,1000,-16.959452815633476,0.1401890018907963
24,2,4,1568.0,3572.0,-17.652335290927198,false,1000,-17.60921558090064,-0.04311971002655923
25,2,4,3076.0,2289.0,-18.398366532515173,false,1000,-18.52221117560556,0.12384464309038634
26,2,3,5505.0,945.0,-18.420680743952367,true,1000,-24.189099333201984,5.768418589249617
27,2,3,2532.0,478.0,-15.427126565067708,false,1000,-15.889706859985598,0.4625802949178901
28,1,1,3083.0,391.0,-17.029073460940513,false,1000,-17.19264060577414,0.16356714483362822
29,1,1,3601.0,274.0,-18.420680743952367,true,1000,-19.225834571666184,0.8051538277138164
30,2,4,5781.0,1691.0,-18.420680743952367,true,1000,-19.472066000874158,1.0513852569217903
31,2,3,1492.0,958.0,-18.181758279028777,false,1000,-18.04343230215246,-0.13832597687631676
32,1,1,4738.0,507.0,-18.027636480420608,false,1000,-18.01681205857122,-0.010824421849388699
33,2,4,4707.0,2123.0,-17.815009644487578,false,1000,-17.883061928777025,0.06805228428944687
34,2,3,2993.0,1511.0,-16.592694190244913,false,1000,-16.48177459587751,-0.1109195943674024
35,2,4,1581.0,2293.0,-15.467816255563585,false,1000,-15.350179277744754,-0.11763697781883131
36,2,4,2018.0,4045.0,-18.420680743952367,true,1000,-18.555894314565872,0.13521357061350514
37,2,4,2605.0,2499.0,-16.807904120158398,false,1000,-16.85944686612051,0.051542745962112946
38,1,1,2774.0,727.0,-14.875272412620049,false,1000,-14.923782091183242,0.04850967856319244
39,2,4,1212.0,1525.0,-17.928769983596062,false,1000,-21.64329143587522,3.7145214522791576
40,2,4,3991.0,2093.0,-17.4235878443283,false,1000,-17.419742581252905,-0.003845263075394456
41,1,2,1675.0,1362.0,-14.741886384388398,false,1000,-14.528641647777082,-0.2132447366113155
42,1,1,1881.0,748.0,-14.683437218535191,false,1000,-14.45580569414926,-0.22763152438593082
43,1,1,2880.0,383.0,-15.980183788111527,false,1000,-16.019378107279916,0.03919431916838967
44,1,1,2585.0,3818.0,-18.420680743952367,true,1000,-19.062748431756205,0.6420676878038378
45,1,2,3282.0,1812.0,-16.81128478865139,false,1000,-16.838555127917584,0.027270339266195265
46,2,3,4940.0,864.0,-17.01362740822497,false,1000,-16.882514853526082,-0.1311125546988876
47,1,2,2194.0,814.0,-14.682903627027626,false,1000,-14.602911138654179,-0.0799924883734473
48,1,1,2574.0,1423.0,-18.420680743952367,true,10000,-27.84224926062742,9.421568516675052
49,2,4,1568.0,3183.0,-17.455899388243775,false,1000,-17.377414755999474,-0.07848463224430091
50,2,3,4574.0,498.0,-18.3376052457723,false,1000,-18.111189930944114,-0.22641531482818422
51,1,1,8189.0,2750.0,-18.420680743952367,true,2049,-22.72003693600548,4.299356192053114
52,1,1,4594.0,2731.0,-18.420680743952367,true,1000,-23.51357172916127,5.0928909852089035
53,2,4,1788.0,2014.0,-15.469106822725752,false,1000,-15.44931909687199,-0.019787725853761984
54,2,4,1312.0,1199.0,-15.238213784224818,false,1000,-15.405235553321525,0.1670217690967064
55,2,4,1680.0,1716.0,-15.476303548994618,false,1000,-15.397325242405774,-0.0789783065888443
56,2,4,2313.0,1608.0,-15.90255365951975,false,1000,-16.049739552338767,0.14718589281901728
57,2,3,1893.0,836.0,-16.125618341992546,false,1000,-15.855269683097632,-0.270348658894914
58,1,2,2013.0,1250.0,-15.107653705480933,false,1000,-15.047891127607347,-0.05976257787358641
59,2,4,1949.0,1714.0,-16.141826426719383,false,1000,-16.030068297348123,-0.1117581293712604
60,1,1,1693.0,1105.0,-15.305529894621431,false,1000,-15.206188989366222,-0.09934090525520922
61,2,4,1534.0,2773.0,-16.57794753780191,false,1000,-16.695550984785115,0.11760344698320324
62,2,4,1628.0,1877.0,-15.30632390776501,false,1000,-15.22085807101847,-0.08546583674653974
63,2,3,3889.0,3255.0,-18.420680743952367,true,1000,-19.22225575779725,0.8015750138448823
64,2,4,1032.0,3612.0,-18.420680743952367,true,1000,-46.62297837940953,28.202297635457164
65,2,4,1040.0,2814.0,-18.420680743952367,true,1000,-47.094928129916234,28.674247385963866
