trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
1,2,4,2259.0,2352.0,-16.758045854994375,false,1000,-16.645371082814428,-0.11267477217994681
2,2,4,2060.0,2415.0,-16.839331296286705,false,1000,-16.63693007408077,-0.20240122220593548
3,1,2,3264.0,3606.0,-18.619276385094008,false,1000,-18.51141140605807,-0.10786497903593784
4,1,1,2469.0,757.0,-19.3458300846766,false,4365,-18.98151917578665,-0.3643109088899479
5,1,2,5601.0,3351.0,-19.5630038673703,false,1000,-19.439895391051174,-0.1231084763191248
6,1,1,6992.0,2473.0,-19.495528918868075,false,1000,-19.607346215151495,0.11181729628341941
7,1,1,3163.0,840.0,-16.380824076495394,false,1000,-16.30455382490602,-0.07627025158937428
8,2,3,2355.0,1424.0,-17.990591028841862,false,1000,-17.802352792028508,-0.18823823681335483
9,2,3,2406.0,743.0,-15.003417046460894,false,1000,-15.019909108457611,0.0164920619967166
10,2,3,2182.0,3402.0,-17.424487724081377,false,1000,-17.394190362139817,-0.030297361941560297
11,2,4,4316.0,2218.0,-18.380970491347952,false,1000,-18.14239093355213,-0.2385795577958234
12,2,3,2022.0,1306.0,-15.46226665780103,false,1000,-15.361854952675934,-0.10041170512509545
13,2,3,1314.0,1565.0,-20.879691236982428,false,9360,-20.803892279153892,-0.07579895782853541
14,2,4,1786.0,2179.0,-16.247240251918544,false,1000,-16.09183763764506,-0.15540261427348412
15,1,2,2244.0,2277.0,-16.915603709759235,false,1000,-16.996743979397465,0.08114026963822951
16,1,1,1162.0,823.0,-16.164443112956313,false,1000,-16.26790240932314,0.10345929636682527
17,1,1,1583.0,813.0,-16.701853724723737,false,1000,-16.523528641415755,-0.1783250833079819
18,2,3,1343.0,406.0,-15.187567084586863,false,1000,-15.298901929579554,0.11133484499269031
19,2,3,2737.0,885.0,-15.615434978028958,false,1000,-15.666110635922962,0.05067565789400419
20,1,1,4831.0,1406.0,-18.759641364285763,false,1000,-18.597406551802308,-0.1622348124834545
21,2,4,5316.0,3822.0,-22.091163349178313,false,1000,-21.588098651718262,-0.5030646974600508
