trial_idx,choice1,choice2,rt1,rt2,diff2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff,abs_err,mean_ll
1,2,4,2259.0,2352.0,,-16.499819431032112,false,1243,-16.567513370715734,0.0676939396836218,0.0676939396836218,-16.533666400873923
2,2,4,2060.0,2415.0,,-16.219534857053763,false,1028,-16.426525135487378,0.20699027843361506,0.20699027843361506,-16.32302999627057
3,1,2,3264.0,3606.0,,-17.93851380828672,false,1633,-18.10537855584861,0.1668647475618883,0.1668647475618883,-18.021946182067666
4,1,1,2469.0,757.0,,-19.374796269629947,false,10000,-19.211996130399996,-0.16280013922995096,0.16280013922995096,-19.29339620001497
5,1,2,5601.0,3351.0,,-19.22336872671753,false,1658,-19.07627181558113,-0.14709691113640133,0.14709691113640133,-19.14982027114933
6,1,1,6992.0,2473.0,,-19.34475353298914,false,2160,-19.32313133703809,-0.02162219595104986,0.02162219595104986,-19.33394243501362
7,1,1,3163.0,840.0,,-15.978102362096546,false,1346,-15.86681837207671,-0.11128399001983702,0.11128399001983702,-15.922460367086629
8,2,3,2355.0,1424.0,,-17.788216094191867,false,10000,-17.788722275442975,0.0005061812511080177,0.0005061812511080177,-17.788469184817423
9,2,3,2406.0,743.0,,-14.637186616284795,false,1009,-14.763150162448863,0.12596354616406735,0.12596354616406735,-14.70016838936683
10,2,3,2182.0,3402.0,,-17.0444004921976,false,1111,-17.01865254611589,-0.02574794608170805,0.02574794608170805,-17.031526519156746
11,2,4,4316.0,2218.0,,-18.088637291313482,false,1489,-18.097192864862187,0.008555573548704842,0.008555573548704842,-18.092915078087835
12,2,3,2022.0,1306.0,,-15.012704420048973,false,1030,-14.963291499335922,-0.04941292071305092,0.04941292071305092,-14.987997959692446
13,2,3,1314.0,1565.0,,-23.180465767305684,false,10000,-24.424869191895745,1.244403424590061,1.244403424590061,-23.802667479600714
14,2,4,1786.0,2179.0,,-15.619579999345124,false,1026,-15.665796492620952,0.04621649327582844,0.04621649327582844,-15.642688245983038
15,1,2,2244.0,2277.0,,-16.897227212716686,false,1022,-16.89201227384404,-0.005214938872647679,0.005214938872647679,-16.894619743280362
16,1,1,1162.0,823.0,,-18.228756532988346,false,1049,-22.340339922669457,4.111583389681112,4.111583389681112,-20.2845482278289
17,1,1,1583.0,813.0,,-17.04991287054192,false,2245,-17.039848020520758,-0.010064850021162641,0.010064850021162641,-17.04488044553134
18,2,3,1343.0,406.0,,-15.365878822404923,false,1021,-15.303409333404701,-0.062469489000221756,0.062469489000221756,-15.334644077904812
19,2,3,2737.0,885.0,,-17.161496546474428,false,1006,-16.895918856725302,-0.26557768974912577,0.26557768974912577,-17.028707701599863
20,1,1,4831.0,1406.0,,-19.706224407150174,false,10000,-19.55723259014556,-0.14899181700461384,0.14899181700461384,-19.631728498647867
21,2,4,5316.0,3822.0,,-23.132002957769537,false,10000,-23.16934225986774,0.037339302098203575,0.037339302098203575,-23.15067260881864
22,1,1,2269.0,1413.0,,-16.00505897354635,false,1143,-15.84902261471014,-0.1560363588362108,0.1560363588362108,-15.927040794128246
23,2,4,1624.0,2118.0,,-16.82678985732771,false,1000,-16.959452815633476,0.13266295830576524,0.13266295830576524,-16.893121336480593
24,2,4,1568.0,3572.0,,-17.821655612437002,false,1523,-17.60921558090064,-0.2124400315363637,0.2124400315363637,-17.71543559666882
25,2,4,3076.0,2289.0,,-18.294505566013623,false,1309,-18.52221117560556,0.2277056095919363,0.2277056095919363,-18.40835837080959
26,2,3,5505.0,945.0,,-27.145357574111102,false,1016,-24.189099333201984,-2.9562582409091185,2.9562582409091185,-25.66722845365654
27,2,3,2532.0,478.0,,-15.97619354532039,false,1031,-15.889706859985598,-0.08648668533479231,0.08648668533479231,-15.932950202652993
28,1,1,3083.0,391.0,,-17.147755920492084,false,2217,-17.19264060577414,0.04488468528205658,0.04488468528205658,-17.170198263133113
29,1,1,3601.0,274.0,,-18.63619982408376,false,1241,-19.225834571666184,0.5896347475824228,0.5896347475824228,-18.931017197874972
30,2,4,5781.0,1691.0,,-19.357940817472432,false,1030,-19.472066000874158,0.1141251834017254,0.1141251834017254,-19.415003409173295
31,2,3,1492.0,958.0,,-17.876113805979767,false,5582,-18.04343230215246,0.1673184961726939,0.1673184961726939,-17.959773054066112
32,1,1,4738.0,507.0,,-18.10416908580696,false,4642,-18.01681205857122,-0.08735702723573979,0.08735702723573979,-18.06049057218909
33,2,4,4707.0,2123.0,,-17.91436230482018,false,1419,-17.883061928777025,-0.03130037604315561,0.03130037604315561,-17.898712116798603
34,2,3,2993.0,1511.0,,-16.589282975564576,false,1363,-16.48177459587751,-0.10750837968706506,0.10750837968706506,-16.53552878572104
35,2,4,1581.0,2293.0,,-15.511880164128888,false,1120,-15.350179277744754,-0.16170088638413382,0.16170088638413382,-15.43102972093682
36,2,4,2018.0,4045.0,,-18.452773269744917,false,1462,-18.555894314565872,0.10312104482095563,0.10312104482095563,-18.504333792155393
37,2,4,2605.0,2499.0,,-16.857331186849112,false,1095,-16.85944686612051,0.0021156792713981076,0.0021156792713981076,-16.85838902648481
38,1,1,2774.0,727.0,,-14.797314600620334,false,1015,-14.923782091183242,0.12646749056290751,0.12646749056290751,-14.860548345901787
39,2,4,1212.0,1525.0,,-18.306473905460898,false,1453,-21.64329143587522,3.336817530414322,3.336817530414322,-19.97488267066806
