trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,analytical_used_eps,loglik_diff
1,1,1,4238.0,2741.0,-20.26255311775619,false,1109,-20.119816398803046,false,-0.14273671895314521
2,2,4,2476.0,1932.0,-18.881437136893336,false,1060,-18.319614589078647,false,-0.561822547814689
3,2,3,1975.0,1688.0,-16.70377318640071,false,1062,-16.818579703920847,false,0.11480651752013671
4,2,4,4190.0,1251.0,-17.427407865741987,false,1047,-17.477096908644626,false,0.04968904290263865
5,2,4,3391.0,1591.0,-18.57184748519403,false,1071,-18.22696588914054,false,-0.3448815960534901
6,2,4,2357.0,1198.0,-16.13897601422308,false,1026,-16.254801490574433,false,0.11582547635135398
7,2,3,1774.0,1426.0,-15.864365448721017,false,1118,-15.736169725008985,false,-0.12819572371203236
8,2,3,1651.0,1275.0,-15.421818158982223,false,1145,-15.528444954175281,false,0.1066267951930584
9,1,1,1552.0,4371.0,-18.483618143442975,false,1678,-18.634967494105766,false,0.15134935066279098
10,1,2,2967.0,1061.0,-16.43669814003746,false,1288,-16.374194233509073,false,-0.06250390652838789
11,1,1,2548.0,973.0,-15.7138040162055,false,1084,-15.739891253118797,false,0.026087236913296508
12,2,3,2060.0,828.0,-14.889904380892414,false,1027,-15.104943619926944,false,0.21503923903452993
13,1,1,1848.0,839.0,-15.044881126873982,false,1088,-15.054932052257218,false,0.010050925383236375
14,2,4,2500.0,1688.0,-17.050595863982917,false,1065,-16.957875967885176,false,-0.09271989609774067
15,1,1,2286.0,950.0,-15.495454923071131,false,1061,-15.469171120170383,false,-0.026283802900747943
16,2,3,3039.0,645.0,-15.943995786215634,false,1088,-15.876154710322133,false,-0.06784107589350086
17,2,4,1966.0,1984.0,-17.02749744738457,false,1052,-17.10207492621337,false,0.07457747882880028
18,1,1,1930.0,1200.0,-16.30651432966359,false,1214,-16.12722477255565,false,-0.17928955710793915
19,2,3,2468.0,2530.0,-17.63482727813602,false,1328,-17.663606795476973,false,0.028779517340954186
20,2,3,1566.0,285.0,-15.407236776931887,false,1107,-15.486477134391844,false,0.07924035745995717
21,1,1,747.0,290.0,-15.831254629685546,false,1175,-16.825189788872006,false,0.99393515918646
22,2,3,1441.0,769.0,-15.655990258379896,false,1309,-15.68786478208403,false,0.03187452370413446
23,1,1,1626.0,255.0,-19.245341095394004,false,36383,-19.265498006207352,false,0.02015691081334836
24,1,2,1464.0,1238.0,-15.07298164205787,false,1106,-15.115460904653924,false,0.0424792625960535
25,1,2,3445.0,976.0,-16.98640572753975,false,2036,-16.947069194537555,false,-0.03933653300219575
26,2,4,1566.0,1171.0,-15.40367615877073,false,1277,-15.417909699204351,false,0.014233540433620462
27,1,2,964.0,1184.0,-15.072481062541959,false,1081,-14.993007959134664,false,-0.0794731034072953
28,2,4,1582.0,1445.0,-15.690699682064663,false,1445,-15.702277326075386,false,0.01157764401072292
29,1,2,1772.0,1642.0,-16.21071482944139,false,1027,-16.443633987735204,false,0.23291915829381438
30,1,2,2695.0,1358.0,-16.393554614887748,false,1142,-16.415508509817446,false,0.021953894929698237
