wid,d1,d2,θ1,θ2,T1,T2,neglogl
w3c803c1,7.654668572437744e-5,1.0241882551325137e-7,0.9584296226501465,0.6323358345031738,720.2118635177616,991.4816856384276,461.0553831433816
wdaebe9a,8.09474412033335e-8,7.5327425568623e-5,0.25411621093750003,0.45907714843749997,7056.7138671875,6323.046875,355.4449412034847
w457a2a0,9.500469239754285e-5,8.177930824396277e-8,0.8089688682556152,0.5443667602539062,1866.2443161010742,523.674964904785,252.49716326541747
wc71252e,0.00010084679705926604,1.2556741482830788e-6,0.8335372161865234,0.5341020965576172,2720.8850860595708,1559.306335449219,257.3599379685024
w8250429,9.275689265728635e-5,0.0009999297331483674,1.079043197631836,0.8927610778808593,1807.622528076172,1290.1252746582036,265.17304671698
w5dd5645,1.301113050448688e-7,9.62283568541009e-7,0.7118204164505004,0.8444453096389771,3893.017578125,1344.0312385559087,332.076307785322
wa64273f,1.176244248373882e-8,4.102293587608125e-9,0.7130226871371269,0.8628212362527847,1732.6379865407946,1675.04091411829,348.20876625342913
w578a7cb,5.761576330090774e-5,9.18433051934464e-5,0.6981969538331031,0.812614124417305,652.3586317896844,831.3426852226258,364.70818445537014
wb651fe0,6.826978193180447e-5,0.00036930298034172794,0.805794677734375,0.9414483642578125,1598.8525390625,947.4319458007814,319.9111950072579
wcb87506,8.467614498976083e-5,4.877851865514961e-8,0.7905057859420777,0.7115574741363525,690.6242370605469,1170.9938526153567,273.35179670456245
w11ae0c3,9.398379520921596e-5,2.2785891004952246e-9,0.6046253967285157,0.702830810546875,1472.7535247802737,1084.933853149414,279.1052252500586
w0c70a81,8.483471562889706e-5,0.00017341327349663905,0.9388803100585936,0.995041389465332,1767.939853668213,1259.1312408447266,252.83634838600074
wbcb6e6a,9.224988221285299e-5,6.303192153978177e-8,0.8654641723632812,0.6286593627929687,1621.6583251953125,1011.4822387695315,226.86188065496077
wdf61453,0.00012475826772841074,6.031085812451127e-7,0.7499621582031251,0.781383056640625,1013.6657714843751,1380.9844970703127,240.06189976777992
wa3a9848,2.2762186323066502e-6,0.0008363683956761639,0.7340383338928222,0.7741471862792969,2949.981641769409,987.4785423278807,323.7504335484604
wf63b737,0.0001102216341753762,0.00026309038741239134,1.0626303100585937,1.1723617553710937,1034.8945617675781,982.9143524169923,240.55367946076223
w4ff13f3,7.089015688860377e-5,1.5909632805835703e-5,1.1690686035156248,0.05701049804687502,917.5903320312501,1066.070556640625,298.0974230696276
w313d7aa,8.48496201325683e-5,2.2933673897107984e-6,1.0913887405395506,0.24196893692016605,1152.9417991638184,1202.950763702393,438.2754093422295
w0e2f500,0.00012150516137327508,2.0955067422224632e-8,0.5605908203125001,0.7684219360351562,1334.8876953125,1449.40185546875,279.84908488067714
waedfc9c,0.00012632520763820128,3.737394080800351e-6,0.576505675315857,0.6329396104812621,1528.66485118866,1262.1980428695679,230.8172127556404
w96b09fe,0.00011114717722121692,1.921725735743078e-5,0.788634033203125,0.8689990234375,1819.1467285156252,1396.0266113281248,278.3627513839597
w9ff051d,7.350514675843904e-5,9.946038740001073e-6,0.9933513832092286,0.25220527648925783,2404.9551963806152,1127.7553558349612,291.1516305483617
wdcfc216,0.0001485873411840187,1.8125313311603657e-9,0.6668327331542969,0.6350776100158692,1731.0320854187012,1301.5584945678715,197.86389687098483
w4a3c9b0,9.694217965150891e-6,6.900660663668295e-5,0.6595262885093688,0.9583622348308563,1791.5689662098885,448.38786572217936,494.02489230490767
wde62b3d,7.921988881109723e-5,1.1242756450491836e-8,0.8124036407470703,0.5363000488281251,1236.6287231445315,1127.8160095214841,270.0930998947929
w5284fa9,0.00015067244257178488,1.9723018106192053e-5,0.568459734916687,0.6588500499725343,1655.658507347107,1249.6086120605469,259.2560149202453
